device_id,site_id,install_date,model,firmware_version,ac_tonnage,star_rating
1,6,2023-12-25,LT-200,v2.0,1.5,5
2,10,2023-10-10,LT-100,v1.0,1.5,4
3,4,2023-07-26,LT-100,v1.0,1.0,4
4,18,2023-01-15,LT-200,v1.1,2.0,3
5,12,2023-12-12,LT-100,v2.0,1.5,4
6,2,2023-02-11,LT-200,v2.0,3.0,5
7,10,2023-06-28,LT-200,v1.1,2.0,3
8,4,2023-03-04,LT-300,v1.1,2.0,4
9,14,2023-12-18,LT-200,v2.0,1.5,5
10,16,2023-08-19,LT-300,v2.0,1.0,5
11,15,2023-08-29,LT-100,v1.1,1.5,4
12,8,2023-02-21,LT-100,v1.0,1.0,5
13,14,2023-04-06,LT-100,v1.0,3.0,4
14,8,2023-08-10,LT-100,v1.1,2.0,4
15,16,2023-08-19,LT-300,v1.0,3.0,5
16,13,2023-08-25,LT-100,v1.1,1.0,5
17,18,2023-05-23,LT-200,v1.0,1.0,5
18,15,2023-06-20,LT-200,v1.0,3.0,5
19,13,2023-01-29,LT-200,v2.0,1.0,4
20,9,2023-02-05,LT-300,v2.0,3.0,4
21,15,2023-01-13,LT-100,v1.0,2.0,5
22,13,2023-06-09,LT-100,v1.0,3.0,4
23,1,2023-11-23,LT-100,v2.0,2.0,5
24,7,2023-07-06,LT-300,v2.0,3.0,5
25,9,2023-08-31,LT-200,v2.0,1.0,5
26,1,2023-03-27,LT-200,v1.1,3.0,4
27,12,2023-10-11,LT-100,v1.0,1.0,4
28,8,2023-03-07,LT-200,v2.0,3.0,3
29,11,2023-06-19,LT-200,v1.0,3.0,4
30,19,2023-02-14,LT-300,v1.1,1.5,3
31,17,2023-03-03,LT-300,v1.1,1.0,4
32,8,2023-05-14,LT-300,v2.0,1.5,4
33,3,2023-10-11,LT-300,v1.1,1.0,4
34,3,2023-01-28,LT-100,v1.0,1.5,4
35,1,2023-04-18,LT-300,v2.0,2.0,3
36,5,2023-02-13,LT-200,v1.0,3.0,3
37,10,2023-12-06,LT-100,v1.0,1.0,5
38,7,2023-10-13,LT-200,v1.1,1.0,4
39,9,2023-11-27,LT-200,v1.1,3.0,3
40,7,2023-05-08,LT-200,v1.1,1.0,4
41,9,2023-12-14,LT-300,v1.1,1.0,5
42,8,2023-08-19,LT-300,v1.1,1.5,4
43,12,2023-07-09,LT-100,v2.0,1.0,4
44,2,2023-08-13,LT-100,v1.0,2.0,3
45,1,2023-10-10,LT-300,v1.0,2.0,3
46,16,2023-05-01,LT-200,v1.0,3.0,4
47,5,2023-04-26,LT-100,v1.0,1.0,4
48,3,2023-08-21,LT-300,v1.1,3.0,4
49,12,2023-09-16,LT-300,v1.0,2.0,5
50,8,2023-12-25,LT-300,v2.0,1.0,5
51,3,2023-07-17,LT-200,v2.0,1.0,4
52,1,2023-05-17,LT-300,v1.0,3.0,4
53,3,2023-11-14,LT-300,v1.0,2.0,5
54,5,2023-06-14,LT-300,v2.0,1.0,4
55,15,2023-08-13,LT-300,v2.0,3.0,4
56,14,2023-11-03,LT-100,v1.1,2.0,3
57,3,2023-08-22,LT-100,v2.0,3.0,3
58,1,2023-06-21,LT-300,v1.1,1.5,5
59,5,2023-06-01,LT-200,v1.1,1.0,5
60,14,2023-11-11,LT-100,v1.1,1.5,4
